id,clv_decile,churn_risk,current_bb_speed,network_activity,account_tenure,time_of_last_broadband_upgrade,broadband_type,customer_segment
107191,3,0,500mb,light,70,2020-03-10,Fiber,Peak Performers
107192,5,0,5Gig,medium,5,2022-01-15,Fiber,Budget Balancers
107193,5,0,500mb,medium,14,2025-08-06,Fiber,Foolproof Followers
107194,2,0,5Gig,heavy,73,2018-10-12,Fiber,Settled Simplifiers
107195,3,0,1Gig,medium,17,2025-05-08,Fiber,Settled Simplifiers
107196,10,0,7Gig,medium,87,2024-03-29,Fiber,Settled Simplifiers
107197,2,0,500mb,light,36,2017-01-02,Fiber,Peak Performers
107198,3,0,1Gig,medium,37,2017-05-25,Fiber,Budget Balancers
107199,4,0,1Gig,medium,13,2019-10-13,Fiber,Budget Balancers
107200,8,0,1Gig,medium,101,2019-07-06,Fiber,Budget Balancers
107201,7,0,500mb,light,57,2016-08-10,Fiber,Aspirational Adopters
107202,8,0,1Gig,light,88,2019-01-02,Fiber,Peak Performers
107203,2,0,2Gig,medium,45,2022-03-04,Fiber,Foolproof Followers
107204,5,0,5Gig,heavy,14,2017-02-04,Fiber,Settled Simplifiers
107205,10,0,Copper,medium,43,2018-07-23,Copper,Peak Performers
107206,8,0,500mb,medium,40,2016-10-12,Fiber,Budget Balancers
107207,3,0,Copper,medium,1,2019-07-18,Copper,Peak Performers
107208,1,0,500mb,medium,91,2018-08-03,Fiber,Peak Performers
107209,6,0,500mb,medium,4,2019-10-08,Fiber,Peak Performers
107210,3,0,1Gig,heavy,24,2019-09-03,Fiber,Foolproof Followers
107211,2,0,500mb,medium,108,2023-08-06,Fiber,Settled Simplifiers
107212,7,0,7Gig,medium,2,2021-08-14,Fiber,Foolproof Followers
107213,6,0,2Gig,heavy,2,2025-06-14,Fiber,Settled Simplifiers
107214,5,0,1Gig,medium,119,2023-05-18,Fiber,Foolproof Followers
107215,4,0,5Gig,medium,42,2018-02-26,Fiber,Foolproof Followers
107216,4,0,500mb,medium,58,2017-07-17,Fiber,Settled Simplifiers
107217,10,0,500mb,medium,110,2018-03-19,Fiber,Settled Simplifiers
107218,4,0,1Gig,medium,56,2018-10-07,Fiber,Settled Simplifiers
107219,6,0,500mb,medium,45,2024-11-19,Fiber,Settled Simplifiers
107220,2,0,1Gig,medium,107,2024-09-18,Fiber,Peak Performers
107221,10,0,500mb,medium,102,2020-03-20,Fiber,Foolproof Followers
107222,8,0,1Gig,medium,5,2018-12-16,Fiber,Settled Simplifiers
107223,6,0,500mb,light,10,2024-09-30,Fiber,Settled Simplifiers
107224,3,0,500mb,medium,59,2024-04-01,Fiber,Settled Simplifiers
107225,9,0,500mb,heavy,37,2023-03-16,Fiber,Foolproof Followers
107226,3,0,5Gig,medium,99,2023-11-28,Fiber,Settled Simplifiers
107227,9,1,500mb,medium,48,2021-01-25,Fiber,Peak Performers
107228,2,1,500mb,medium,36,2016-01-18,Fiber,Foolproof Followers
107229,4,0,Copper,medium,19,2025-03-17,Copper,Budget Balancers
107230,6,0,2Gig,medium,69,2022-03-23,Fiber,Settled Simplifiers
107231,2,0,1Gig,light,60,2019-03-08,Fiber,Aspirational Adopters
107232,7,0,7Gig,light,116,2022-09-09,Fiber,Settled Simplifiers
107233,9,0,1Gig,medium,82,2025-01-15,Fiber,Foolproof Followers
107234,6,0,Copper,medium,51,2023-04-11,Copper,Peak Performers
107235,10,0,1Gig,medium,104,2025-06-13,Fiber,Peak Performers
107236,7,0,1Gig,medium,19,2022-01-21,Fiber,Settled Simplifiers
107237,5,0,5Gig,medium,60,2016-02-22,Fiber,Foolproof Followers
107238,9,0,1Gig,medium,30,2019-07-06,Fiber,Settled Simplifiers
107239,3,0,1Gig,medium,62,2022-10-16,Fiber,Settled Simplifiers
107240,6,0,1Gig,heavy,31,2021-07-16,Fiber,Settled Simplifiers
107241,6,0,1Gig,medium,1,2017-09-13,Fiber,Budget Balancers
107242,5,0,Copper,heavy,83,2019-01-31,Copper,Foolproof Followers
107243,9,0,Copper,medium,16,2020-09-09,Copper,Foolproof Followers
107244,7,0,7Gig,light,66,2024-03-10,Fiber,Peak Performers
107245,7,0,1Gig,heavy,5,2016-01-29,Fiber,Budget Balancers
107246,9,0,500mb,heavy,44,2019-07-17,Fiber,Peak Performers
107247,10,0,7Gig,light,53,2025-10-01,Fiber,Peak Performers
107248,7,0,500mb,medium,54,2024-04-18,Fiber,Budget Balancers
107249,9,0,500mb,light,54,2021-06-02,Fiber,Settled Simplifiers
107250,8,0,7Gig,medium,71,2017-06-06,Fiber,Budget Balancers
107251,7,0,500mb,light,27,2022-10-20,Fiber,Peak Performers
107252,10,0,Copper,light,33,2025-06-09,Copper,Aspirational Adopters
107253,7,0,500mb,medium,73,2022-08-19,Fiber,Settled Simplifiers
107254,6,0,2Gig,medium,91,2025-02-22,Fiber,Foolproof Followers
107255,8,0,500mb,medium,112,2019-09-30,Fiber,Settled Simplifiers
107256,7,0,500mb,light,96,2024-04-07,Fiber,Settled Simplifiers
107257,8,0,5Gig,medium,91,2020-09-21,Fiber,Foolproof Followers
107258,7,0,500mb,medium,82,2019-10-08,Fiber,Settled Simplifiers
107259,10,0,Copper,medium,64,2023-03-07,Copper,Foolproof Followers
107260,9,0,1Gig,medium,115,2017-01-20,Fiber,Settled Simplifiers
107261,6,0,5Gig,heavy,85,2022-07-07,Fiber,Peak Performers
107262,2,0,500mb,light,82,2016-10-08,Fiber,Settled Simplifiers
107263,7,0,500mb,medium,86,2020-04-23,Fiber,Budget Balancers
107264,6,0,1Gig,medium,110,2019-07-11,Fiber,Peak Performers
107265,8,0,500mb,medium,53,2018-07-26,Fiber,Budget Balancers
107266,10,0,500mb,medium,53,2019-01-06,Fiber,Settled Simplifiers
107267,6,0,500mb,medium,84,2016-04-01,Fiber,Settled Simplifiers
107268,7,0,500mb,medium,119,2019-06-23,Fiber,Budget Balancers
107269,2,0,500mb,heavy,83,2017-01-11,Fiber,Settled Simplifiers
107270,2,0,7Gig,light,24,2016-07-12,Fiber,Budget Balancers
107271,3,0,1Gig,heavy,83,2025-04-20,Fiber,Foolproof Followers
107272,4,0,1Gig,heavy,79,2016-03-26,Fiber,Aspirational Adopters
107273,10,0,500mb,light,108,2017-08-07,Fiber,Foolproof Followers
107274,7,0,500mb,light,58,2024-01-30,Fiber,Settled Simplifiers
107275,9,0,500mb,medium,75,2024-01-03,Fiber,Foolproof Followers
107276,4,0,500mb,medium,89,2016-08-27,Fiber,Settled Simplifiers
107277,5,0,1Gig,medium,113,2020-07-20,Fiber,Budget Balancers
107278,2,0,500mb,medium,73,2023-05-22,Fiber,Settled Simplifiers
107279,6,0,1Gig,medium,79,2016-08-12,Fiber,Peak Performers
107280,6,0,5Gig,medium,41,2023-07-14,Fiber,Budget Balancers
107281,8,0,1Gig,medium,72,2021-05-13,Fiber,Budget Balancers
107282,3,0,Copper,medium,93,2019-06-20,Copper,Peak Performers
107283,4,0,1Gig,light,50,2016-03-21,Fiber,Foolproof Followers
107284,3,0,500mb,medium,108,2022-09-03,Fiber,Settled Simplifiers
107285,4,0,1Gig,light,37,2023-03-24,Fiber,Aspirational Adopters
107286,2,0,1Gig,light,80,2021-01-13,Fiber,Foolproof Followers
107287,3,0,500mb,medium,34,2019-09-27,Fiber,Settled Simplifiers
107288,6,0,500mb,medium,78,2023-11-11,Fiber,Settled Simplifiers
107289,2,0,500mb,medium,56,2021-10-14,Fiber,Foolproof Followers
107290,2,0,500mb,heavy,114,2020-02-17,Fiber,Settled Simplifiers
107291,10,0,500mb,medium,69,2025-04-04,Fiber,Foolproof Followers
107292,4,0,Copper,medium,47,2018-10-02,Copper,Peak Performers
107293,6,0,1Gig,heavy,13,2016-12-06,Fiber,Peak Performers
107294,6,1,Copper,light,13,2020-08-08,Copper,Budget Balancers
107295,6,0,1Gig,heavy,66,2025-09-28,Fiber,Peak Performers
107296,10,0,500mb,heavy,75,2023-01-07,Fiber,Settled Simplifiers
107297,10,0,500mb,medium,28,2021-09-28,Fiber,Settled Simplifiers
107298,4,0,5Gig,heavy,44,2016-03-13,Fiber,Settled Simplifiers
107299,8,0,1Gig,light,79,2021-01-27,Fiber,Settled Simplifiers
107300,6,0,500mb,light,10,2019-04-29,Fiber,Aspirational Adopters
107301,8,0,500mb,light,21,2022-02-03,Fiber,Budget Balancers
107302,10,0,500mb,medium,47,2016-06-26,Fiber,Settled Simplifiers
107303,6,0,Copper,heavy,82,2018-07-09,Copper,Peak Performers
107304,8,0,1Gig,medium,79,2023-10-15,Fiber,Foolproof Followers
107305,5,1,500mb,medium,113,2021-05-03,Fiber,Foolproof Followers
107306,10,0,500mb,heavy,78,2019-12-06,Fiber,Foolproof Followers
107307,9,0,500mb,light,67,2024-06-05,Fiber,Settled Simplifiers
107308,1,0,1Gig,heavy,33,2019-08-14,Fiber,Settled Simplifiers
107309,6,0,5Gig,medium,20,2017-08-17,Fiber,Peak Performers
107310,4,0,500mb,medium,23,2017-01-03,Fiber,Peak Performers
107311,10,0,500mb,medium,56,2020-04-17,Fiber,Settled Simplifiers
107312,6,0,7Gig,heavy,91,2018-09-30,Fiber,Peak Performers
107313,10,0,500mb,light,62,2023-04-03,Fiber,Peak Performers
107314,5,0,500mb,medium,60,2024-09-25,Fiber,Peak Performers
107315,9,0,1Gig,medium,77,2020-10-28,Fiber,Budget Balancers
107316,7,0,1Gig,medium,88,2020-12-08,Fiber,Peak Performers
107317,5,0,500mb,medium,1,2017-02-28,Fiber,Settled Simplifiers
107318,4,0,5Gig,light,16,2023-03-10,Fiber,Budget Balancers
107319,7,0,1Gig,medium,65,2017-01-02,Fiber,Peak Performers
107320,6,0,5Gig,medium,11,2020-10-28,Fiber,Budget Balancers
107321,9,0,Copper,heavy,104,2024-08-17,Copper,Peak Performers
107322,5,0,1Gig,medium,25,2018-03-13,Fiber,Foolproof Followers
107323,7,0,500mb,light,117,2020-02-19,Fiber,Peak Performers
107324,8,0,2Gig,medium,87,2021-01-31,Fiber,Settled Simplifiers
107325,9,0,500mb,medium,50,2019-10-03,Fiber,Peak Performers
107326,4,0,500mb,light,59,2016-02-25,Fiber,Budget Balancers
107327,5,0,1Gig,heavy,3,2022-10-11,Fiber,Settled Simplifiers
107328,1,0,1Gig,medium,59,2017-01-22,Fiber,Budget Balancers
107329,7,0,1Gig,light,103,2022-03-14,Fiber,Foolproof Followers
107330,3,0,2Gig,medium,111,2016-06-26,Fiber,Budget Balancers
107331,6,0,1Gig,medium,110,2024-12-20,Fiber,Budget Balancers
107332,8,0,500mb,heavy,111,2019-06-12,Fiber,Aspirational Adopters
107333,9,0,500mb,medium,114,2019-05-16,Fiber,Settled Simplifiers
107334,4,0,1Gig,medium,20,2019-07-24,Fiber,Foolproof Followers
107335,8,0,Copper,light,49,2018-10-14,Copper,Budget Balancers
107336,1,0,1Gig,light,69,2016-09-22,Fiber,Settled Simplifiers
107337,10,0,500mb,light,106,2016-10-14,Fiber,Foolproof Followers
107338,10,0,500mb,heavy,54,2018-05-22,Fiber,Settled Simplifiers
107339,1,0,500mb,light,8,2016-08-01,Fiber,Settled Simplifiers
107340,7,0,500mb,medium,118,2024-12-10,Fiber,Settled Simplifiers
107341,9,0,Copper,light,79,2025-03-22,Copper,Foolproof Followers
107342,1,0,5Gig,medium,78,2025-10-20,Fiber,Peak Performers
107343,8,0,5Gig,heavy,60,2016-03-27,Fiber,Settled Simplifiers
107344,3,0,1Gig,medium,37,2017-04-27,Fiber,Foolproof Followers
107345,10,1,1Gig,light,57,2024-03-28,Fiber,Settled Simplifiers
107346,9,0,5Gig,light,76,2016-09-07,Fiber,Foolproof Followers
107347,7,0,Copper,medium,40,2020-01-13,Copper,Budget Balancers
107348,8,0,500mb,medium,109,2018-01-23,Fiber,Foolproof Followers
107349,10,0,500mb,medium,73,2017-11-21,Fiber,Foolproof Followers
107350,4,0,7Gig,light,35,2016-03-05,Fiber,Budget Balancers
107351,1,0,1Gig,heavy,76,2022-10-15,Fiber,Peak Performers
107352,3,0,1Gig,heavy,80,2017-02-23,Fiber,Budget Balancers
107353,9,0,Copper,light,55,2016-12-10,Copper,Settled Simplifiers
107354,8,0,5Gig,medium,97,2025-01-17,Fiber,Foolproof Followers
107355,8,0,5Gig,medium,73,2017-05-18,Fiber,Settled Simplifiers
107356,8,0,1Gig,medium,64,2020-11-10,Fiber,Settled Simplifiers
107357,4,0,500mb,light,95,2016-08-30,Fiber,Settled Simplifiers
107358,6,0,500mb,medium,111,2025-01-02,Fiber,Peak Performers
107359,1,0,2Gig,medium,66,2016-12-31,Fiber,Settled Simplifiers
107360,1,0,Copper,medium,26,2020-10-03,Copper,Peak Performers
107361,10,0,500mb,medium,58,2020-11-20,Fiber,Peak Performers
107362,1,0,1Gig,heavy,8,2024-09-20,Fiber,Budget Balancers
107363,6,0,500mb,medium,81,2022-02-09,Fiber,Settled Simplifiers
107364,9,0,500mb,medium,30,2022-01-24,Fiber,Foolproof Followers
107365,5,0,1Gig,medium,44,2024-09-20,Fiber,Peak Performers
107366,2,0,1Gig,heavy,8,2021-11-02,Fiber,Foolproof Followers
107367,5,0,2Gig,medium,9,2024-04-22,Fiber,Aspirational Adopters
107368,2,0,500mb,medium,70,2017-09-12,Fiber,Settled Simplifiers
107369,6,0,1Gig,heavy,96,2020-11-30,Fiber,Foolproof Followers
107370,3,0,1Gig,heavy,51,2020-06-09,Fiber,Settled Simplifiers
107371,5,0,7Gig,medium,94,2023-05-02,Fiber,Foolproof Followers
107372,9,0,1Gig,medium,87,2016-07-16,Fiber,Foolproof Followers
107373,2,0,2Gig,light,78,2016-10-30,Fiber,Budget Balancers
107374,7,0,2Gig,heavy,52,2017-01-11,Fiber,Settled Simplifiers
107375,8,0,5Gig,medium,72,2016-06-22,Fiber,Budget Balancers
107376,1,0,1Gig,medium,48,2022-07-13,Fiber,Settled Simplifiers
107377,10,0,500mb,medium,83,2017-01-25,Fiber,Peak Performers
107378,1,0,500mb,medium,55,2025-07-22,Fiber,Peak Performers
107379,8,0,5Gig,medium,68,2020-01-08,Fiber,Peak Performers
107380,9,0,5Gig,medium,64,2018-03-27,Fiber,Settled Simplifiers
107381,6,0,500mb,heavy,16,2020-08-10,Fiber,Foolproof Followers
107382,2,0,500mb,medium,31,2022-08-23,Fiber,Peak Performers
107383,1,0,Copper,medium,29,2025-06-01,Copper,Budget Balancers
107384,5,0,7Gig,medium,94,2022-11-16,Fiber,Settled Simplifiers
107385,1,0,5Gig,heavy,97,2017-03-07,Fiber,Peak Performers
107386,10,0,1Gig,light,91,2023-03-17,Fiber,Budget Balancers
107387,3,0,500mb,medium,55,2020-07-23,Fiber,Settled Simplifiers
107388,9,0,1Gig,medium,2,2023-08-23,Fiber,Foolproof Followers
107389,2,0,500mb,medium,22,2023-08-19,Fiber,Settled Simplifiers
107390,7,0,500mb,heavy,8,2020-11-24,Fiber,Peak Performers
107391,2,0,500mb,medium,74,2025-03-16,Fiber,Budget Balancers
107392,7,0,1Gig,light,70,2018-03-08,Fiber,Peak Performers
107393,9,0,1Gig,light,72,2025-07-18,Fiber,Settled Simplifiers
107394,4,0,Copper,light,67,2019-03-09,Copper,Settled Simplifiers
107395,5,0,500mb,heavy,47,2019-07-28,Fiber,Foolproof Followers
107396,4,0,1Gig,medium,52,2019-05-22,Fiber,Foolproof Followers
107397,2,0,2Gig,light,45,2020-02-16,Fiber,Peak Performers
107398,1,0,500mb,light,16,2020-12-05,Fiber,Peak Performers
107399,9,1,2Gig,light,84,2020-11-20,Fiber,Peak Performers
107400,4,0,1Gig,light,100,2022-02-03,Fiber,Budget Balancers
107401,5,0,500mb,medium,3,2019-10-15,Fiber,Foolproof Followers
107402,6,0,500mb,heavy,39,2016-07-12,Fiber,Foolproof Followers
107403,2,0,500mb,medium,21,2018-06-24,Fiber,Settled Simplifiers
107404,7,0,1Gig,medium,8,2016-05-12,Fiber,Settled Simplifiers
107405,8,0,500mb,medium,94,2018-07-26,Fiber,Settled Simplifiers
107406,4,0,500mb,medium,7,2019-12-27,Fiber,Peak Performers
107407,3,0,500mb,medium,88,2021-04-10,Fiber,Foolproof Followers
107408,1,0,1Gig,medium,97,2021-10-07,Fiber,Foolproof Followers
107409,7,0,500mb,medium,2,2017-04-20,Fiber,Settled Simplifiers
107410,8,0,500mb,heavy,22,2019-08-03,Fiber,Budget Balancers
107411,3,0,500mb,heavy,81,2017-03-10,Fiber,Foolproof Followers
107412,2,0,500mb,medium,33,2023-11-12,Fiber,Settled Simplifiers
107413,4,0,500mb,heavy,30,2018-04-28,Fiber,Foolproof Followers
107414,1,0,2Gig,medium,44,2025-07-16,Fiber,Peak Performers
107415,10,0,Copper,medium,19,2016-01-03,Copper,Foolproof Followers
107416,3,0,1Gig,heavy,111,2016-04-04,Fiber,Peak Performers
107417,9,0,1Gig,light,15,2018-12-24,Fiber,Settled Simplifiers
107418,9,0,500mb,heavy,43,2021-11-11,Fiber,Foolproof Followers
107419,6,0,1Gig,heavy,1,2018-04-17,Fiber,Foolproof Followers
107420,7,0,500mb,heavy,1,2017-12-11,Fiber,Peak Performers
107421,10,0,500mb,medium,109,2020-08-03,Fiber,Settled Simplifiers
107422,6,0,500mb,light,34,2018-08-08,Fiber,Budget Balancers
107423,1,0,500mb,light,29,2023-12-16,Fiber,Settled Simplifiers
107424,7,0,500mb,medium,15,2024-09-08,Fiber,Budget Balancers
107425,8,0,2Gig,light,65,2023-10-28,Fiber,Foolproof Followers
107426,9,0,7Gig,medium,43,2018-01-29,Fiber,Peak Performers
107427,2,0,7Gig,light,87,2024-05-04,Fiber,Budget Balancers
107428,8,0,500mb,medium,89,2025-01-24,Fiber,Settled Simplifiers
107429,3,0,2Gig,light,26,2017-11-10,Fiber,Peak Performers
107430,2,0,500mb,medium,105,2021-11-22,Fiber,Budget Balancers
107431,3,0,500mb,medium,65,2022-06-13,Fiber,Budget Balancers
107432,2,0,500mb,heavy,113,2023-05-30,Fiber,Foolproof Followers
107433,1,0,Copper,light,97,2017-11-27,Copper,Budget Balancers
107434,4,0,500mb,medium,78,2021-01-23,Fiber,Peak Performers
107435,5,0,1Gig,medium,110,2018-07-02,Fiber,Peak Performers
107436,3,0,2Gig,medium,87,2017-01-23,Fiber,Foolproof Followers
107437,1,0,1Gig,light,102,2024-09-10,Fiber,Settled Simplifiers
107438,4,0,500mb,light,36,2018-03-09,Fiber,Peak Performers
107439,7,0,500mb,medium,50,2017-12-24,Fiber,Foolproof Followers
107440,5,0,2Gig,light,65,2018-01-30,Fiber,Settled Simplifiers
107441,10,0,Copper,medium,33,2018-07-31,Copper,Aspirational Adopters
107442,2,0,Copper,medium,50,2023-01-24,Copper,Budget Balancers
107443,2,0,500mb,medium,32,2016-05-02,Fiber,Settled Simplifiers
107444,5,0,500mb,heavy,54,2023-10-01,Fiber,Foolproof Followers
107445,4,0,Copper,light,84,2019-03-27,Copper,Budget Balancers
107446,6,0,1Gig,heavy,18,2023-04-07,Fiber,Foolproof Followers
107447,2,0,2Gig,light,57,2022-08-06,Fiber,Peak Performers
107448,1,0,2Gig,medium,92,2017-03-03,Fiber,Foolproof Followers
107449,4,0,1Gig,light,56,2019-10-31,Fiber,Peak Performers
107450,5,0,500mb,light,99,2016-01-25,Fiber,Settled Simplifiers
107451,6,0,1Gig,heavy,94,2023-05-25,Fiber,Budget Balancers
107452,9,0,7Gig,medium,28,2017-03-10,Fiber,Budget Balancers
107453,7,0,7Gig,medium,21,2017-09-18,Fiber,Foolproof Followers
107454,1,0,Copper,heavy,24,2017-02-13,Copper,Budget Balancers
107455,3,0,500mb,heavy,106,2017-10-14,Fiber,Peak Performers
107456,8,0,1Gig,medium,58,2021-06-16,Fiber,Settled Simplifiers
107457,6,0,Copper,heavy,80,2016-01-02,Copper,Foolproof Followers
107458,2,0,500mb,medium,106,2019-10-01,Fiber,Settled Simplifiers
107459,4,0,Copper,light,44,2024-01-11,Copper,Foolproof Followers
107460,5,0,500mb,medium,26,2016-09-08,Fiber,Settled Simplifiers
107461,7,0,2Gig,light,18,2017-02-27,Fiber,Foolproof Followers
107462,9,0,Copper,heavy,52,2019-11-15,Copper,Foolproof Followers
107463,1,0,Copper,medium,101,2018-02-07,Copper,Settled Simplifiers
107464,10,0,1Gig,medium,39,2019-09-07,Fiber,Budget Balancers
107465,3,0,500mb,medium,46,2023-03-21,Fiber,Peak Performers
107466,6,0,1Gig,heavy,43,2023-10-23,Fiber,Peak Performers
107467,6,0,500mb,medium,9,2021-04-11,Fiber,Foolproof Followers
107468,3,0,500mb,medium,88,2020-03-14,Fiber,Settled Simplifiers
107469,10,0,500mb,medium,56,2017-11-05,Fiber,Budget Balancers
107470,2,0,5Gig,light,108,2023-02-05,Fiber,Peak Performers
107471,10,0,500mb,medium,111,2022-08-29,Fiber,Foolproof Followers
107472,5,0,500mb,medium,74,2017-06-10,Fiber,Budget Balancers
107473,1,0,Copper,light,21,2021-03-20,Copper,Settled Simplifiers
107474,2,0,500mb,medium,21,2021-08-21,Fiber,Settled Simplifiers
107475,5,0,5Gig,light,80,2019-08-01,Fiber,Foolproof Followers
107476,5,0,2Gig,medium,66,2019-09-04,Fiber,Peak Performers
107477,10,0,1Gig,medium,117,2024-02-24,Fiber,Settled Simplifiers
107478,2,0,7Gig,heavy,34,2018-04-02,Fiber,Peak Performers
107479,6,0,Copper,medium,54,2020-04-20,Copper,Foolproof Followers
107480,10,0,1Gig,light,1,2017-09-03,Fiber,Foolproof Followers
107481,2,0,1Gig,medium,72,2025-08-21,Fiber,Foolproof Followers
107482,10,0,500mb,medium,90,2016-01-17,Fiber,Budget Balancers
107483,10,0,500mb,medium,101,2016-01-17,Fiber,Budget Balancers
107484,9,0,1Gig,light,83,2019-07-27,Fiber,Peak Performers
107485,6,0,500mb,medium,96,2016-06-25,Fiber,Foolproof Followers
107486,6,0,500mb,light,19,2018-04-01,Fiber,Settled Simplifiers
107487,10,0,500mb,light,1,2022-03-02,Fiber,Settled Simplifiers
107488,6,0,Copper,medium,35,2022-12-09,Copper,Settled Simplifiers
107489,2,0,500mb,heavy,43,2024-11-21,Fiber,Foolproof Followers
107490,3,0,5Gig,medium,40,2025-04-25,Fiber,Foolproof Followers
107491,3,0,Copper,medium,90,2020-12-22,Copper,Peak Performers
107492,2,0,7Gig,light,80,2020-02-06,Fiber,Settled Simplifiers
107493,8,0,500mb,heavy,10,2019-01-01,Fiber,Budget Balancers
107494,3,0,7Gig,medium,67,2023-08-17,Fiber,Settled Simplifiers
107495,8,0,1Gig,medium,108,2024-07-24,Fiber,Budget Balancers
107496,5,0,1Gig,heavy,23,2021-02-27,Fiber,Peak Performers
107497,4,0,2Gig,medium,10,2017-05-26,Fiber,Settled Simplifiers
107498,5,0,1Gig,medium,114,2016-12-02,Fiber,Peak Performers
107499,4,0,2Gig,medium,59,2022-04-03,Fiber,Settled Simplifiers
107500,5,0,500mb,light,90,2016-03-09,Fiber,Peak Performers
107501,9,0,2Gig,light,36,2020-01-27,Fiber,Budget Balancers
107502,3,0,500mb,heavy,11,2024-09-03,Fiber,Peak Performers
107503,3,1,Copper,medium,87,2017-05-21,Copper,Peak Performers
107504,9,0,500mb,medium,68,2023-11-29,Fiber,Peak Performers
107505,2,0,2Gig,medium,98,2022-05-08,Fiber,Settled Simplifiers
107506,8,0,500mb,medium,19,2021-09-06,Fiber,Peak Performers
107507,9,0,1Gig,heavy,30,2022-04-30,Fiber,Settled Simplifiers
107508,8,0,7Gig,medium,51,2021-08-07,Fiber,Budget Balancers
107509,7,0,2Gig,light,2,2023-08-24,Fiber,Peak Performers
107510,6,0,1Gig,medium,31,2018-06-17,Fiber,Peak Performers
107511,6,0,1Gig,heavy,103,2021-12-14,Fiber,Settled Simplifiers
107512,6,0,500mb,medium,10,2019-12-11,Fiber,Peak Performers
107513,6,0,500mb,medium,117,2019-08-07,Fiber,Budget Balancers
107514,1,0,500mb,light,55,2022-04-01,Fiber,Foolproof Followers
107515,9,0,2Gig,light,2,2021-10-21,Fiber,Settled Simplifiers
107516,1,0,500mb,heavy,72,2020-02-21,Fiber,Peak Performers
107517,3,0,1Gig,medium,83,2020-07-03,Fiber,Peak Performers
107518,10,0,500mb,medium,11,2020-01-03,Fiber,Settled Simplifiers
107519,5,0,500mb,heavy,3,2019-01-06,Fiber,Budget Balancers
107520,6,0,Copper,light,1,2021-02-01,Copper,Settled Simplifiers
107521,1,0,5Gig,light,2,2016-04-18,Fiber,Foolproof Followers
107522,9,0,500mb,light,79,2023-04-05,Fiber,Settled Simplifiers
107523,5,0,500mb,heavy,3,2017-09-18,Fiber,Peak Performers
107524,4,0,2Gig,heavy,114,2023-06-16,Fiber,Settled Simplifiers
107525,9,0,500mb,medium,38,2025-05-31,Fiber,Peak Performers
107526,10,0,Copper,heavy,78,2019-01-26,Copper,Aspirational Adopters
107527,10,0,500mb,medium,27,2019-05-29,Fiber,Settled Simplifiers
107528,1,0,Copper,heavy,64,2021-12-26,Copper,Settled Simplifiers
107529,1,0,Copper,light,119,2017-05-07,Copper,Settled Simplifiers
107530,9,0,2Gig,medium,64,2016-05-23,Fiber,Aspirational Adopters
107531,4,0,500mb,medium,118,2021-04-03,Fiber,Budget Balancers
107532,1,0,7Gig,light,92,2020-09-15,Fiber,Foolproof Followers
107533,8,0,1Gig,heavy,116,2019-10-08,Fiber,Peak Performers
107534,9,0,2Gig,light,39,2025-09-16,Fiber,Aspirational Adopters
107535,6,0,1Gig,medium,73,2016-02-01,Fiber,Peak Performers
107536,7,0,Copper,medium,76,2020-02-20,Copper,Peak Performers
107537,5,0,1Gig,heavy,51,2018-11-19,Fiber,Peak Performers
107538,8,0,1Gig,medium,64,2019-03-24,Fiber,Settled Simplifiers
107539,10,0,500mb,light,1,2022-04-13,Fiber,Settled Simplifiers
107540,7,0,1Gig,heavy,54,2020-10-25,Fiber,Settled Simplifiers
107541,1,0,2Gig,medium,90,2016-05-06,Fiber,Settled Simplifiers
107542,6,0,Copper,medium,66,2021-03-09,Copper,Foolproof Followers
107543,4,0,7Gig,light,25,2021-10-23,Fiber,Peak Performers
107544,7,0,1Gig,medium,106,2022-03-18,Fiber,Settled Simplifiers
107545,5,0,1Gig,heavy,58,2021-05-30,Fiber,Settled Simplifiers
107546,10,0,5Gig,heavy,3,2019-10-10,Fiber,Settled Simplifiers
107547,1,1,7Gig,heavy,97,2021-01-20,Fiber,Budget Balancers
107548,7,0,1Gig,medium,31,2017-08-25,Fiber,Settled Simplifiers
107549,6,0,500mb,light,40,2019-02-21,Fiber,Peak Performers
107550,4,0,1Gig,medium,108,2023-12-05,Fiber,Peak Performers
107551,6,0,1Gig,medium,107,2016-04-01,Fiber,Settled Simplifiers
107552,4,0,500mb,heavy,57,2021-02-16,Fiber,Foolproof Followers
107553,3,0,2Gig,heavy,51,2023-10-25,Fiber,Peak Performers
107554,7,0,1Gig,medium,5,2023-10-17,Fiber,Settled Simplifiers
107555,1,0,500mb,light,32,2020-07-18,Fiber,Budget Balancers
107556,8,0,500mb,heavy,116,2016-02-27,Fiber,Peak Performers
107557,2,0,2Gig,light,107,2020-01-15,Fiber,Foolproof Followers
107558,10,0,500mb,light,65,2017-05-30,Fiber,Settled Simplifiers
107559,2,0,Copper,medium,120,2025-09-27,Copper,Settled Simplifiers
107560,2,0,500mb,heavy,19,2020-11-30,Fiber,Budget Balancers
107561,1,0,1Gig,medium,87,2024-07-07,Fiber,Settled Simplifiers
107562,4,0,1Gig,heavy,6,2019-07-04,Fiber,Aspirational Adopters
107563,1,0,Copper,medium,83,2018-12-23,Copper,Foolproof Followers
107564,5,0,1Gig,heavy,52,2025-07-01,Fiber,Settled Simplifiers
107565,9,0,500mb,heavy,46,2023-10-04,Fiber,Budget Balancers
107566,9,0,Copper,medium,95,2021-04-19,Copper,Peak Performers
